ALA,ARG,ASN,ASP,CYS,GLU,GLN,GLY,HIS,ILE,LEU,LYS,MET,PHE,PRO,SER,THR,TRP,TYR,VAL
11949.92871,11966.34863,11849.35645,11925.6582,12147.55469,11838.21387,11931.76367,11891.45215,11883.13281,11902.04785,11882.67285,12041.11426,12068.78027,12064.4375,11824.4043,12012.78125,,12036.12012,12048.90625,11986.45703
12284.12207,12367.47168,11902.56543,12039.79883,12102.85059,11925.52539,11806.45605,11957.51758,12075.7373,12079.42578,11849.21289,11996.47266,12070.37402,12037.03125,12102.68457,11926.1748,,11969.83789,11909.42578,11860.19043
11932.64355,12016.72754,12278.12012,12043.57324,12016.30469,11953.92383,12047.47363,11995.60352,11867.89648,11752.91016,11838.10938,12204.70801,11922.78125,11963.21387,11861.73145,11849.67969,12115.54492,11933.13379,,12094.84961
11937.13574,12180.64063,11684.76563,12082.86914,11833.99316,11848.06445,11915.4043,12015.54492,11665.33203,11861.25684,11808.54297,,11779.02539,11921.91406,11913.56152,12070.12695,12029.11133,11931.625,11926.94727,11876.58008
11926.25,11967.55078,11922.37305,12020.49609,11990.37988,12035.57422,12003.52734,12147.23047,12222.95898,11914.85449,,11827.38281,11843.86426,11890.71484,12051.70508,11851.33496,12208.85742,11998.72949,12225.98047,11914.51758
12050.56055,11744.24707,11934.94629,11893.7002,11972.12109,11812.7666,11923.87109,12166.13965,11913.0127,11926.39648,11937.21191,12112.94824,11812.80859,11649.75586,11784.46777,11953.83105,12048.92578,11967.88379,11960.91504,
11884.62207,11931.85059,11794.17676,12170.51367,11947.16504,12062.75488,12126.34375,11769.20605,12063.69629,,12054.72656,12344.66309,11961.22461,11967.97852,11881.49512,12014.87012,11988.56055,11934.6709,12057.83887,11962.54199
12213.28613,12014.09961,,12031.63867,12120.05762,11978.24023,11966.51172,11995.2041,11788.07617,11797.9043,12012.76172,11850.70703,11680.08887,11838.00391,11928.90137,12138.6748,11847.37598,11959.00098,11963.84961,11852.30469
12012.65039,11864.89551,11783.24609,12015.32227,12027.06543,11926.05566,11944.42578,,11985.60742,11804.84668,11852.82227,11984.09473,12193.96289,11883.80664,11979.17871,11954.82227,12033.89355,12037.57324,12069.82129,12114.7334
12190.33008,11899.46289,11930.67676,12053.28711,11903.62012,11944.74023,12055.70313,11952.64746,11959.03809,11982.6875,12052.66113,,12037.7998,12143.44531,11762.01758,11833.64648,11863.22559,11918.39453,11939.39844,11880.17969
12256.71875,12068.83203,11868.27051,11836.24609,11808.46191,12079.36523,12088.52148,11861.15918,11840.97266,11953.74902,11858.96875,11763.12988,11953.75195,11860.11816,11966.20508,12169.90234,,11902.3418,11841.42383,12130.50977
11723.7334,12130.16211,11823.41895,11937.4668,12101.37402,12187.4043,12066.2207,12116.87598,11981.28125,12158.64258,,11990.56836,12006.62695,11873.56934,11906.00977,12047.27734,11906.20801,11842.46582,11712.24707,12085.49121
11856.4082,12262.16504,11890.01074,12089.14355,11833.11621,11887.60645,11840.4873,11878.72656,12217.9248,11931.19629,11982.44141,,12056.70605,11759.86523,11851.37012,12016.6543,11934.21289,12060.61133,11768.37988,12049.78027
11875.45508,12269.89746,12185.30078,11990.48145,11945.4248,11836.32129,11984.92773,,11701.23242,11921.07324,11816.17188,11745.61133,12054.31445,12039.58008,11951.58691,12041.27832,12035.30469,12029.99023,12034.07227,12000.49609
12073.8916,12158.45117,12104.42871,11948.6084,12087.0752,,12043.60742,12055.125,12094.00488,11988.08105,12113.30957,12109.45215,12012.15039,12134.29297,12240,12078.42969,12039.8916,12238.25,12107.52441,12276.85547
11935.87402,12031.87305,12120.99512,11836.67188,12091.19043,11982.73633,11940.85547,12037.98047,11880.78516,12078.74609,12254.29199,11993.6543,11856.59668,12078.41699,11751.7041,11916.2959,,12159.2959,11948.07422,11994.8916
11796.28125,12047.21289,12169.63672,12063.78418,11929.33496,11964.03906,11902.39844,11961.63867,11979.05469,11996.99609,11884.13379,12062.32031,11807.33203,11928.00879,11876.86816,12136.08691,,12025.94043,12026.27637,12015.24805
12012.69043,11932.63086,12171.44922,11910.68555,12139.93164,11941.0625,11841.92285,11902.59863,11696.62793,11875.59277,11945.92969,12122.61328,11914.16602,11932.63086,11930.63184,11952.5459,,11907.17871,11950.55957,11899.68164
11937.96094,11939.15137,11848.93848,12096.49414,12000.62695,,11955.15625,12045.41992,12089.01172,12144.12598,12077.90527,11885.39551,12067.63867,11789.17578,11788.86816,11890.89453,12196.67578,12000.03223,12047.0791,12025.29102
,11957.29688,11849.16602,12101.67578,11882.9248,11939.91211,12094.99902,11896.63281,11894.66602,12050.28711,11926.89746,11871.49121,11806.1377,12067.48047,11972.23633,11922.17578,11988.93652,11858.29199,11874.52441,11886.6582
11822.7041,12107.30566,12061.89941,11888.39258,11944.0918,11856.70605,11922.01758,12224.58398,11961.25,12032.45215,12013.87793,12178.81934,12096.50293,11991.57227,11961.07324,11830.2041,11910.91406,12012.1748,12078.19824,
12042.34277,11932.50391,12008.21875,,12158.5625,12054.76074,12120.90039,12067.25586,12096.59082,11832.90234,11898.1582,11905.48047,12012.27539,12142.42383,11877.22949,12053.54004,11903.05664,11933.24805,11891.49805,12120.92578
,11910.87598,11937.06055,11987.5293,11914.67969,11914.05664,11961.80469,12082.74805,11913.72461,11884.22559,11870.7832,11929.67969,12082.97363,11935.83398,11747.33008,11861.29004,12000.81152,11889.2666,11990.85254,12002.69141
,11977.37793,12194.94531,11942.24805,11928.44824,12009.13867,11830.00977,11974.9043,12093.67773,11989.0127,12061.16016,11954.11035,11884.32715,11932.1543,12092.13672,12006.29004,11971.45215,11927.11621,11968.33105,11817.57031
12107.41211,11887.5918,11966.29297,11795.10938,12064.72852,11966.92188,11973.11328,12183.7373,12004.47949,12051.98926,11793.39355,11901.89648,11896.0293,11808.97266,11888.50391,11963.75879,,11859.93066,11972.93848,11900.18945
,11854.92285,11881.70117,12110.30371,12030.99902,11973.11816,11904.92578,11838.18945,11849.67383,11888.54785,11930.41016,12035.98438,11869.63379,12002.64941,12024.13086,12041.24121,11799.9707,11933.30371,12045.01953,11941.31445
12087.18848,12130.65625,11956.43848,12034.96973,12014.91602,,11878.68945,11863.61426,11846.8418,12069.85742,12077.44727,12001.40039,11856.41406,12015.31934,12186.62109,11764.91504,12011.7959,12017.59277,11987.14746,11935.7666
12103.14844,11857.03125,12060.16504,12080.06836,12057.5957,12256.96191,11947.69336,12042.84082,11929.69336,12082.47559,11949.30664,,12157.60059,11985.59375,11860.16113,12185.92969,12033.27148,11877.80957,11899.06836,12009.56641
11831.21484,11896.89063,11840.63184,12003.44531,11893.10645,11880.19922,12051.52637,11924.70605,12104.83105,12078.59277,12101.57813,11997.375,11888.04199,12113.98242,12032.69922,11918.21484,11951.84375,11974.55371,11987.6416,
11923.01367,12100.44824,12073.87305,11897.17773,11765.99023,11874.36719,11954.06152,11902.71387,11995.32227,12054.53125,12045.44434,12055.3877,12167.63281,,12017.8125,11978.53516,11866.82617,11752.63379,11962.00781,12058.43457
