ALA,ARG,ASN,ASP,CYS,GLU,GLN,GLY,HIS,ILE,LEU,LYS,MET,PHE,PRO,SER,THR,TRP,TYR,VAL
3021.536621,3144.528809,3074.209961,3089.358154,3147.08667,3188.895752,3225.294434,3116.558105,3185.936768,3167.329102,3222.031738,3155.372314,3235.078125,3177.54541,3189.553467,3164.505127,,3142.773926,3170.345703,3146.637207
3212.853271,3269.848145,3188.226318,3118.199219,3120.187988,3223.502197,3172.688721,3169.795166,3192.484375,3182.640381,3246.260986,3409.857178,3239.344238,3183.60498,3285.399414,3240.848633,,3230.986572,3321.0896,3117.419678
3114.270264,3154.209473,3160.346436,3263.613037,3258.334961,3157.910156,3202.566162,3302.83667,3221.173828,3348.243408,3152.132568,3098.444092,3367.024414,3231.333008,3252.458984,3169.530273,3198.330566,3072.256104,,3312.014893
3224.113037,3134.017578,3128.296631,3188.125732,3119.025146,3153.98999,3174.175293,3149.499268,3245.378174,3149.852783,3169.869629,,3218.08374,3061.395996,3104.155762,3228.522705,3094.011963,3202.609863,3197.997314,3122.395264
3106.419434,3112.103271,3084.266113,3088.045166,3166.97583,3116.07373,3117.255371,3211.277832,3043.946289,3052.977295,,3165.277588,3191.004639,3181.317383,3169.155029,3105.623779,3190.78418,3267.276611,3186.772217,3063.746094
3203.38916,3516.678955,3076.354492,3240.403809,3147.729492,3115.146484,3139.924561,3190.327148,3136.639648,3073.717285,3197.660156,3354.09375,3195.168457,3086.513916,3205.902832,3195.917236,3094.452393,3165.840576,3159.223877,
3172.530518,3232.577148,3206.459473,3275.018555,3265.383545,3308.906494,3211.703613,3309.485107,3196.006836,,3215.510498,3334.63208,3308.772705,3188.076416,3164.368164,3205.80957,3153.786621,3214.876953,3364.630859,3158.421875
3149.506836,3192.734131,,3381.183838,3194.724365,3179.8479,3220.907227,3257.386963,3148.291992,3120.288818,3188.130127,3360.656494,3136.905029,3086.366211,3119.383057,3214.0625,3198.221191,3211.672119,3260.445068,3132.949951
3147.731201,3187.635254,3090.547852,3240.983887,3140.994385,3226.726074,3171.660889,,3106.864746,3211.369873,3141.011475,3245.645264,3203.545654,3084.291016,3371.848877,3184.893799,3211.785889,3202.891602,3193.665771,3202.161133
3112.124023,3278.618408,3119.154297,3179.367188,3269.606934,3140.751709,3288.129395,3060.347656,3084.625244,3174.298828,3232.919678,,3205.874268,3208.459229,3212.443604,3177.010986,3131.963867,3298.713623,3138.389893,3078.612793
3133.195068,3370.701172,3057.53125,3129.263428,3160.88501,3151.716797,3187.833252,3106.415771,3282.722656,3125.101074,3137.379395,3226.69043,3212.187256,3205.010254,3242.75,3231.250732,,3182.949951,3153.398926,3080.553223
3150.564209,3220.188965,3208.077148,3162.697754,3080.93335,3227.590332,3144.148682,3169.084961,3084.594238,3175.702637,,3167.825928,3004.202148,3163.672119,3244.094238,3128.772217,3153.132813,3258.909912,3210.483887,3132.729004
3081.600098,3306.535645,3074.705811,3081.592529,3110.678711,3177.872803,3296.059814,3261.143311,3189.262207,3147.965088,3234.264893,,3173.801758,3132.574219,3195.251709,3135.481689,3139.512207,3223.256836,3121.927002,3103.739746
3205.455566,3139.62915,3240.326416,3152.915527,3054.397461,3201.929932,3329.186523,,3177.951172,3280.277588,3293.849121,3072.767578,3169.111816,3372.688721,3176.776611,3359.9375,3194.693848,3211.353027,3096.759521,3030.508057
3204.014893,3178.894043,3306.701172,3257.469238,3155.789063,,3266.199219,3230.41626,3167.578613,3261.382568,3089.68457,3254.114258,3234.532959,3156.553467,3147.060303,3097.379639,3261.695313,3350.783447,3080.830078,3221.527588
3112.139648,3248.929199,3258.920654,3198.722412,3179.805176,3108.828857,3029.79541,3126.298584,3248.924072,3174.257568,3136.226318,3148.679932,3174.652588,3279.373535,3095.435547,3140.178467,,3297.494629,3197.384521,3236.468262
3096.251465,3213.095459,3244.865234,3170.486084,3137.248047,3120.162354,3152.802979,3083.992676,3157.879395,3228.781006,3022.799072,3232.760986,3090.026123,3097.962402,3180.375488,3097.361084,,3166.606934,3125.409912,3143.46167
3253.474121,3102.662354,3178.110352,3249.88208,3168.409424,3176.3396,3200.298584,3182.062988,3230.350586,3348.279785,3260.273438,3294.442627,3129.860352,3155.573486,3151.95874,3116.830811,,3146.789063,3259.107666,3162.994385
3140.951416,3280.506104,3089.025146,3156.905518,3207.546387,,3289.250977,3094.256836,3192.977539,3182.30542,3339.064209,3171.949951,3153.635742,3305.071533,3254.789795,3144.843506,3185.101318,3127.889404,3220.770508,3132.234619
,3275.949219,3189.844971,3128.449707,3131.72876,3309.576416,3238.167725,3176.656494,3175.355469,3139.751221,3190.115234,3274.77124,3272.001709,3222.4021,3209.833496,3058.335693,3121.942383,3131.21875,3068.441162,3119.317383
3155.787109,3163.483643,3084.219482,3160.104736,3108.00415,3259.069824,3152.471436,3161.48584,3194.201416,3164.481201,3102.506348,3172.601318,3187.744873,3241.907959,3155.732422,3244.401123,3089.343262,3353.668213,3283.223389,
