ALA,ARG,ASN,ASP,CYS,GLU,GLN,GLY,HIS,ILE,LEU,LYS,MET,PHE,PRO,SER,THR,TRP,TYR,VAL
15013.80566,15187.99805,14995.32129,15091.66895,15360.16602,15147.0752,15234.72559,15060.15527,15141.74805,15168.52148,15205.2627,15288.55469,15372.57129,15318.64551,15108.43262,15275.40625,,15262.05273,15324.79883,15239.16699
15550.94434,15718.09277,15178.14941,15216.44922,15300.75977,15211.94238,15104.35254,15187.65723,15316.82129,15337.06152,15189.81445,15497.25586,15382.91504,15322.43262,15443.46777,15275.77148,,15279.24316,15323.65039,15072.27637
15099.05957,15240.80469,15552.99219,15404.21484,15363.73535,15204.66016,15308.00098,15371.30469,15188.42773,15186.77637,15060.0293,15391.24023,15350.2207,15271.40723,15200.29688,15120.69043,15362.3125,15081.91699,,15487.28906
15226.0625,15434.43848,14903.42383,15355.14355,15021.9873,15100.66699,15160.86914,15250.91406,14991.44238,15107.80078,15061.96875,,15109.74414,15090.02148,15121.12305,15392.16992,15211.03809,15237.51465,15231.09375,15050.98047
15129.85449,15144.76953,15119.16895,15161.94043,15263.4248,15221.79004,15211.48926,15408.74902,15333.42773,15032.53027,,15066.71973,15110.49414,15145.00586,15319.52539,15029.32031,15433.24316,15333.58301,15504.08203,15075.31738
15331.29883,15364.69238,15075.43555,15228.35254,15199.15332,15029.92285,15169.86133,15427.25781,15142.43262,15075.6875,15200.22656,15516.58691,15069.92285,14863.66504,15061.27441,15219.51563,15227.76563,15195.46289,15197.21875,
15144.5,15239.19629,15072.23047,15528.77539,15306.55469,15446.70508,15417.85352,15148.13281,15327.34668,,15344.98242,15738.29395,15342.56152,15246.62891,15079.53711,15257.92383,15217.03613,15244.4043,15493.03223,15198.17676
15463.83203,15273.68164,,15496.08496,15369.21387,15248.46973,15252.91992,15344.80469,15052.17578,14985.69141,15253.04199,15239.90625,14915.66504,15003.18555,15094.21777,15401.70605,15113.52246,15241.63477,15251.74512,15067.58984
15239.12109,15109.96875,14960.15723,15334.70215,15263.05957,15242.73242,15192.07031,,15193.33301,15093.38281,15105.25195,15293.05371,15444.7168,15044.41211,15420.32227,15238.96875,15324.52637,15390.01563,15338.60059,15403.66406
15364.47461,15255.07324,15124.08789,15313.23438,15263.77148,15159.93262,15411.32715,15118.17773,15116.37695,15227.87109,15339.79492,,15306.92383,15462.4043,15058.09375,15079.42383,15045.91504,15285.41895,15113.55176,15055.75684
15479.18457,15484.88672,14993.76074,15067.0791,15041.60645,15315.16211,15313.13477,15029.40234,15192.24219,15132.42871,15056.82617,15068.23633,15245.20801,15138.19824,15275.44434,15483.56641,,15170.02148,15103.66992,15261.12207
